GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-baie,ca.ulaval.glo2003.ebaie.inventory.api,ItemDtoAssembler,0,199,3,17,0,43,3,12,0,5
e-baie,ca.ulaval.glo2003.ebaie.inventory.api,ItemResource,67,0,0,0,17,0,4,0,4,0
e-baie,ca.ulaval.glo2003.ebaie.seller.api.SellerException,InvalidSellerIdException,2,4,0,0,1,2,1,1,1,1
e-baie,ca.ulaval.glo2003.ebaie.offer.api.dtos,OfferResponseToBuyer,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.offer.api.dtos,OffersResponse,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.offer.api.dtos,OfferRequest,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.offer.api.dtos,OfferResponseOffer,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.buyer.application,BuyerUseCase,15,22,0,0,3,7,1,2,1,2
e-baie,ca.ulaval.glo2003.ebaie.offer.entities,OfferFactory,0,23,0,0,0,6,0,3,0,3
e-baie,ca.ulaval.glo2003.ebaie.offer.entities,Offer,0,39,0,0,0,14,0,7,0,7
e-baie,ca.ulaval.glo2003.ebaie.app,JettyJerseyApp,242,0,0,0,50,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.app,JettyJerseyApp.new Application() {...},138,0,0,0,22,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.inventory.api.InventoryException,InvalidProductDurationExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.inventory.api.InventoryException,InvalidProductInitialPriceExceptionMapper,21,0,0,0,5,0,2,0,2,0
